Search Alpha Results - 20260131_212842
PATH: logs/LidarSpread/informarl_subgoal/seed0_129154248_ZFZO
EPI: 1000
GPU: 1
ALPHA1_RANGE: [5.0, 10.0, 15.0, 20.0, 25.0, 30.0]
ALPHA2_RANGE: [5.0, 10.0, 15.0, 20.0, 25.0, 30.0]

  alpha1   alpha2     reward  safe_rate  last_reward  last_dist
--------------------------------------------------------------
     5.0     30.0     -0.211      97.9%      -0.0002     0.0166
    30.0      5.0     -0.211      97.9%      -0.0002     0.0166
     5.0     25.0     -0.211      97.6%      -0.0002     0.0161
    25.0      5.0     -0.211      97.6%      -0.0002     0.0161
     5.0     20.0     -0.211      97.1%      -0.0002     0.0164
    20.0      5.0     -0.211      97.1%      -0.0002     0.0164
     5.0     15.0     -0.212      96.6%      -0.0002     0.0166
    15.0      5.0     -0.212      96.6%      -0.0002     0.0166
     5.0     10.0     -0.212      96.2%      -0.0002     0.0154
    10.0      5.0     -0.212      96.2%      -0.0002     0.0154
    10.0     30.0     -0.208      95.7%      -0.0002     0.0154
    30.0     10.0     -0.208      95.7%      -0.0002     0.0153
     5.0      5.0     -0.220      95.6%      -0.0002     0.0174
    25.0     10.0     -0.208      95.3%      -0.0002     0.0157
    10.0     25.0     -0.208      95.3%      -0.0002     0.0157
    10.0     10.0     -0.207      94.6%      -0.0002     0.0146
    10.0     20.0     -0.208      94.6%      -0.0002     0.0156
    10.0     15.0     -0.208      94.6%      -0.0002     0.0160
    15.0     10.0     -0.208      94.6%      -0.0002     0.0160
    20.0     10.0     -0.208      94.5%      -0.0002     0.0155
    15.0     30.0     -0.208      93.9%      -0.0002     0.0153
    30.0     15.0     -0.208      93.9%      -0.0002     0.0153
    15.0     25.0     -0.208      93.7%      -0.0002     0.0153
    25.0     15.0     -0.208      93.7%      -0.0002     0.0153
    15.0     15.0     -0.207      93.6%      -0.0002     0.0155
    15.0     20.0     -0.208      93.3%      -0.0002     0.0158
    20.0     15.0     -0.208      93.3%      -0.0002     0.0158
    20.0     30.0     -0.208      93.3%      -0.0002     0.0158
    30.0     20.0     -0.208      93.3%      -0.0002     0.0158
    20.0     20.0     -0.208      92.8%      -0.0002     0.0157
    20.0     25.0     -0.208      92.5%      -0.0002     0.0151
    25.0     20.0     -0.208      92.5%      -0.0002     0.0152
    25.0     25.0     -0.208      92.5%      -0.0002     0.0156
    25.0     30.0     -0.208      92.2%      -0.0002     0.0156
    30.0     25.0     -0.208      92.2%      -0.0002     0.0156
    30.0     30.0     -0.208      91.8%      -0.0002     0.0160

Best: alpha1=5.0, alpha2=30.0 (reward=-0.211, safe_rate=97.9%, last_reward=-0.0002, last_dist=0.0166)
