Search Alpha Results - 20260131_224450
PATH: logs/LidarSpread/informarl_subgoal/seed0_129154248_ZFZO
EPI: 1000
GPU: 1
ALPHA1_RANGE: [20.0, 25.0, 30.0, 36.0, 40.0, 45.0, 50.0]
ALPHA2_RANGE: [12.0, 16.0, 18.0, 22.0, 26.0, 30.0, 35.0]

  alpha1   alpha2     reward  safe_rate  last_reward  last_dist
--------------------------------------------------------------
    36.0     30.0     -0.277      99.9%      -0.0006     0.0395 ***
    36.0     26.0     -0.266      99.9%      -0.0005     0.0345
    45.0     35.0     -0.272      99.9%      -0.0005     0.0373
    25.0     22.0     -0.283      99.9%      -0.0006     0.0439
    30.0     30.0     -0.294      99.9%      -0.0007     0.0487
    20.0     22.0     -0.304      99.9%      -0.0008     0.0536
    25.0     35.0     -0.326      99.9%      -0.0011     0.0724
    30.0     26.0     -0.281      99.8%      -0.0006     0.0412
    36.0     35.0     -0.292      99.8%      -0.0007     0.0467
    20.0     30.0     -0.332      99.8%      -0.0011     0.0752
    40.0     35.0     -0.282      99.8%      -0.0006     0.0419
    20.0     26.0     -0.320      99.8%      -0.0010     0.0654
    50.0     35.0     -0.263      99.8%      -0.0005     0.0338
    30.0     22.0     -0.267      99.8%      -0.0005     0.0331
    40.0     30.0     -0.269      99.8%      -0.0005     0.0358
    30.0     35.0     -0.309      99.8%      -0.0008     0.0565
    36.0     22.0     -0.252      99.7%      -0.0004     0.0284
    45.0     30.0     -0.258      99.7%      -0.0004     0.0310
    20.0     18.0     -0.286      99.7%      -0.0006     0.0439
    20.0     35.0     -0.346      99.7%      -0.0013     0.0885
    25.0     18.0     -0.266      99.7%      -0.0005     0.0336
    20.0     16.0     -0.275      99.7%      -0.0005     0.0370
    25.0     30.0     -0.313      99.7%      -0.0009     0.0600
    25.0     26.0     -0.297      99.7%      -0.0007     0.0496
    40.0     26.0     -0.256      99.6%      -0.0004     0.0300
    45.0     26.0     -0.248      99.6%      -0.0004     0.0275
    50.0     26.0     -0.239      99.5%      -0.0003     0.0241
    45.0     22.0     -0.236      99.5%      -0.0003     0.0247
    40.0     22.0     -0.243      99.5%      -0.0004     0.0249
    50.0     30.0     -0.250      99.5%      -0.0004     0.0279
    30.0     18.0     -0.250      99.4%      -0.0004     0.0267
    25.0     16.0     -0.256      99.4%      -0.0004     0.0289
    30.0     16.0     -0.241      99.4%      -0.0003     0.0242
    50.0     22.0     -0.229      99.3%      -0.0003     0.0212
    50.0     18.0     -0.222      99.2%      -0.0003     0.0189
    36.0     18.0     -0.238      99.2%      -0.0003     0.0241
    20.0     12.0     -0.252      99.2%      -0.0004     0.0278
    25.0     12.0     -0.235      99.2%      -0.0003     0.0214
    40.0     18.0     -0.230      99.1%      -0.0003     0.0207
    40.0     16.0     -0.225      99.1%      -0.0003     0.0188
    45.0     18.0     -0.225      99.1%      -0.0003     0.0200
    36.0     16.0     -0.231      99.1%      -0.0003     0.0219
    45.0     16.0     -0.221      99.0%      -0.0003     0.0188
    30.0     12.0     -0.225      98.9%      -0.0003     0.0180
    50.0     16.0     -0.218      98.9%      -0.0003     0.0194
    36.0     12.0     -0.220      98.5%      -0.0002     0.0174
    40.0     12.0     -0.217      98.3%      -0.0002     0.0169
    45.0     12.0     -0.215      97.5%      -0.0003     0.0185
    50.0     12.0     -0.212      96.0%      -0.0002     0.0154

Best: alpha1=36.0, alpha2=30.0 (reward=-0.277, safe_rate=99.9%, last_reward=-0.0006, last_dist=0.0395)
