topk,viab_gain,err_gain,alpha_max,g_act_thresh,safety_margin,n_lookahead,w_slack,safe_rate,last_dist,last_reward,success_agent,success_epi,status
3,0.5,5.0,1.0,0.01,0.02,0,1.0,97.3333333,0.0225667,-0.0003392,88.6666667,74.6666667,ok
3,0.5,5.0,1.0,0.01,0.02,0,5.0,97.0,0.0234844,-0.0003426,89.3333333,75.6666667,ok
3,0.5,5.0,1.0,0.01,0.02,0,10.0,97.0,0.0226626,-0.0003649,86.3333333,68.6666667,ok
3,0.5,5.0,1.0,0.01,0.02,2,1.0,98.2222222,0.0244842,-0.0003665,88.0,73.6666667,ok
3,0.5,5.0,1.0,0.01,0.02,2,5.0,98.0,0.0205927,-0.0003195,88.8888889,73.3333333,ok
3,0.5,5.0,1.0,0.01,0.02,2,10.0,98.2222222,0.0229186,-0.0003665,86.4444444,68.0,ok
3,0.5,10.0,1.0,0.01,0.02,0,1.0,99.2222222,0.0189958,-0.0002933,89.8888889,76.0,ok
3,0.5,10.0,1.0,0.01,0.02,0,5.0,99.0,0.0205697,-0.0003239,88.4444444,72.3333333,ok
3,0.5,10.0,1.0,0.01,0.02,0,10.0,99.4444444,0.0248367,-0.0003767,87.3333333,69.3333333,ok
3,0.5,10.0,1.0,0.01,0.02,2,1.0,99.2222222,0.0209199,-0.0003218,88.7777778,73.6666667,ok
3,0.5,10.0,1.0,0.01,0.02,2,5.0,99.1111111,0.0252798,-0.0003763,87.8888889,71.6666667,ok
3,0.5,10.0,1.0,0.01,0.02,2,10.0,99.4444444,0.0246669,-0.0003708,88.0,70.0,ok
3,1.0,5.0,1.0,0.01,0.02,0,1.0,98.4444444,0.0228502,-0.0003535,87.6666667,71.6666667,ok
3,1.0,5.0,1.0,0.01,0.02,0,5.0,98.2222222,0.0290336,-0.0004611,83.6666667,64.0,ok
3,1.0,5.0,1.0,0.01,0.02,0,10.0,98.5555556,0.0355783,-0.0005496,81.2222222,60.0,ok
3,1.0,5.0,1.0,0.01,0.02,2,1.0,98.4444444,0.0242971,-0.0003857,86.2222222,67.3333333,ok
3,1.0,5.0,1.0,0.01,0.02,2,5.0,98.3333333,0.0312563,-0.0004971,82.1111111,61.3333333,ok
3,1.0,5.0,1.0,0.01,0.02,2,10.0,98.4444444,0.0352271,-0.0005547,80.3333333,58.0,ok
3,1.0,10.0,1.0,0.01,0.02,0,1.0,98.8888889,0.0229294,-0.000362,87.0,67.6666667,ok
3,1.0,10.0,1.0,0.01,0.02,0,5.0,99.3333333,0.0281478,-0.0004439,84.1111111,63.0,ok
3,1.0,10.0,1.0,0.01,0.02,0,10.0,99.2222222,0.0325866,-0.0005096,82.1111111,60.3333333,ok
3,1.0,10.0,1.0,0.01,0.02,2,1.0,99.3333333,0.025092,-0.0003959,85.6666667,66.0,ok
3,1.0,10.0,1.0,0.01,0.02,2,5.0,99.1111111,0.0316026,-0.0004876,83.4444444,63.3333333,ok
3,1.0,10.0,1.0,0.01,0.02,2,10.0,99.1111111,0.0352488,-0.0005448,81.2222222,57.6666667,ok
5,0.5,5.0,1.0,0.01,0.02,0,1.0,97.4444444,0.0240493,-0.000362,87.8888889,72.3333333,ok
5,0.5,5.0,1.0,0.01,0.02,0,5.0,98.4444444,0.0257758,-0.0003884,87.2222222,72.0,ok
5,0.5,5.0,1.0,0.01,0.02,0,10.0,97.6666667,0.0275503,-0.0004253,85.5555556,67.6666667,ok
5,0.5,5.0,1.0,0.01,0.02,2,1.0,98.3333333,0.024432,-0.0003706,87.8888889,71.3333333,ok
5,0.5,5.0,1.0,0.01,0.02,2,5.0,98.5555556,0.0252787,-0.0003834,87.3333333,70.6666667,ok
5,0.5,5.0,1.0,0.01,0.02,2,10.0,98.4444444,0.0287379,-0.0004299,85.8888889,68.6666667,ok
5,0.5,10.0,1.0,0.01,0.02,0,1.0,98.7777778,0.0236644,-0.0003538,88.5555556,71.3333333,ok
5,0.5,10.0,1.0,0.01,0.02,0,5.0,98.8888889,0.0238938,-0.000362,88.4444444,72.6666667,ok
5,0.5,10.0,1.0,0.01,0.02,0,10.0,99.1111111,0.0265917,-0.0004033,86.5555556,69.3333333,ok
5,0.5,10.0,1.0,0.01,0.02,2,1.0,99.0,0.0220497,-0.0003373,88.5555556,73.6666667,ok
5,0.5,10.0,1.0,0.01,0.02,2,5.0,98.7777778,0.0225713,-0.0003507,87.6666667,71.3333333,ok
5,0.5,10.0,1.0,0.01,0.02,2,10.0,98.5555556,0.0270014,-0.0004191,85.6666667,67.6666667,ok
5,1.0,5.0,1.0,0.01,0.02,0,1.0,98.8888889,0.0281251,-0.0004324,85.3333333,66.3333333,ok
5,1.0,5.0,1.0,0.01,0.02,0,5.0,98.4444444,0.0341145,-0.0005133,83.2222222,61.0,ok
5,1.0,5.0,1.0,0.01,0.02,0,10.0,98.6666667,0.0380091,-0.0005702,81.4444444,58.6666667,ok
5,1.0,5.0,1.0,0.01,0.02,2,1.0,98.6666667,0.0243414,-0.0003954,85.2222222,65.3333333,ok
5,1.0,5.0,1.0,0.01,0.02,2,5.0,98.4444444,0.0317389,-0.0005035,82.0,59.6666667,ok
5,1.0,5.0,1.0,0.01,0.02,2,10.0,99.1111111,0.0373991,-0.0005752,80.2222222,56.6666667,ok
5,1.0,10.0,1.0,0.01,0.02,0,1.0,98.6666667,0.0259655,-0.0004073,86.0,66.0,ok
5,1.0,10.0,1.0,0.01,0.02,0,5.0,99.0,0.0300309,-0.0004595,84.3333333,63.0,ok
5,1.0,10.0,1.0,0.01,0.02,0,10.0,99.2222222,0.0339176,-0.0005327,81.0,58.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,1.0,99.0,0.0287392,-0.0004517,84.1111111,63.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,5.0,98.7777778,0.0328886,-0.0005238,81.3333333,59.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,10.0,98.6666667,0.0371039,-0.0005712,80.5555556,57.6666667,ok
